description,description_normalized,unit,trade_category,composite_rate,labor_percentage,labor_rate,material_rate,equipment_rate,source,notes
Excavation soft soil manual,excavation soft soil manual,m³,earthworks,245.00,0.80,196.00,24.50,24.50,BuildAid 2025/2026 (Industry Standard),High labor intensity - manual digging
Excavation hard soil mechanical,excavation hard soil mechanical,m³,earthworks,180.00,0.25,45.00,90.00,45.00,BuildAid 2025/2026 (Industry Standard),Mechanical excavation - TLB/excavator
Excavation rock mechanical,excavation rock mechanical,m³,earthworks,420.00,0.20,84.00,210.00,126.00,BuildAid 2025/2026 (Industry Standard),Rock breaking required
Backfill excavation compact,backfill excavation compact,m³,earthworks,125.00,0.70,87.50,12.50,25.00,BuildAid 2025/2026 (Industry Standard),Manual compaction
Backfill selected material,backfill selected material,m³,earthworks,185.00,0.40,74.00,92.50,18.50,BuildAid 2025/2026 (Industry Standard),Imported material
Remove topsoil,remove topsoil,m³,earthworks,95.00,0.75,71.25,9.50,14.25,BuildAid 2025/2026 (Industry Standard),Strip and stockpile
Cart away spoil,cart away spoil,m³,earthworks,135.00,0.30,40.50,67.50,27.00,BuildAid 2025/2026 (Industry Standard),Transport off-site
Level and grade,level and grade,m²,earthworks,28.00,0.60,16.80,2.80,8.40,BuildAid 2025/2026 (Industry Standard),Site preparation
Compact subgrade,compact subgrade,m²,earthworks,32.00,0.50,16.00,3.20,12.80,BuildAid 2025/2026 (Industry Standard),Mechanical compaction
Topsoil spreading,topsoil spreading,m³,earthworks,145.00,0.55,79.75,43.50,21.75,BuildAid 2025/2026 (Industry Standard),Final landscaping
Concrete 15MPa blinding,concrete 15mpa blinding,m³,concrete,950.00,0.18,171.00,665.00,114.00,BuildAid 2025/2026 (Industry Standard),Blinding layer under foundations
Concrete 20MPa general,concrete 20mpa general,m³,concrete,1050.00,0.18,189.00,735.00,126.00,BuildAid 2025/2026 (Industry Standard),General construction
Concrete 25MPa foundations,concrete 25mpa foundations,m³,concrete,1200.00,0.18,216.00,840.00,144.00,BuildAid 2025/2026 (Industry Standard),Strip footings and pads
Concrete 30MPa slabs,concrete 30mpa slabs,m³,concrete,1350.00,0.18,243.00,945.00,162.00,BuildAid 2025/2026 (Industry Standard),Ground floor slabs
Concrete 40MPa columns,concrete 40mpa columns,m³,concrete,1680.00,0.20,336.00,1176.00,168.00,BuildAid 2025/2026 (Industry Standard),Structural columns
Concrete 50MPa beams,concrete 50mpa beams,m³,concrete,1850.00,0.20,370.00,1295.00,185.00,BuildAid 2025/2026 (Industry Standard),Suspended beams
Formwork foundations,formwork foundations,m²,formwork,180.00,0.75,135.00,27.00,18.00,BuildAid 2025/2026 (Industry Standard),Timber formwork
Formwork columns,formwork columns,m²,formwork,220.00,0.75,165.00,33.00,22.00,BuildAid 2025/2026 (Industry Standard),Vertical formwork
